iter	Passed	Remaining
399	26606	33257
400	26675	33194
401	26744	33131
402	26814	33069
403	26890	33013
404	26953	32942
405	27016	32872
406	27084	32807
407	27144	32733
408	27207	32661
409	27328	32660
410	27391	32590
411	27466	32533
412	27529	32462
413	27597	32396
414	27657	32322
415	27716	32247
416	27775	32171
417	27835	32096
418	27895	32023
419	27958	31952
420	28017	31877
421	28072	31798
422	28131	31722
423	28199	31657
424	28266	31592
425	28350	31544
426	28424	31486
427	28498	31428
428	28570	31367
429	28643	31307
430	28713	31245
431	28788	31187
432	28869	31136
433	28942	31076
434	29021	31022
435	29096	30965
436	29162	30897
437	29231	30833
438	29303	30771
439	29380	30716
440	29450	30653
441	29521	30590
442	29621	30557
443	29694	30496
444	29759	30428
445	29824	30359
446	29888	30289
447	29949	30217
448	30006	30140
449	30064	30064
450	30123	29990
451	30179	29912
452	30233	29832
453	30289	29756
454	30344	29677
455	30397	29597
456	30453	29520
457	30506	29440
458	30559	29361
459	30614	29283
460	30669	29205
461	30724	29128
462	30781	29052
463	30835	28974
464	30892	28899
465	30948	28823
466	31003	28746
467	31059	28670
468	31118	28597
469	31184	28530
470	31249	28463
471	31315	28396
472	31382	28330
473	31463	28277
474	31530	28211
475	31591	28140
476	31651	28068
477	31719	28003
478	31777	27929
479	31845	27865
480	31918	27804
481	32000	27751
482	32058	27678
483	32129	27615
484	32205	27557
485	32273	27491
486	32339	27425
487	32401	27355
488	32486	27304
489	32552	27237
490	32612	27165
491	32669	27091
492	32729	27019
493	32784	26944
494	32840	26869
495	32915	26809
496	32983	26745
497	33041	26671
498	33097	26597
499	33150	26520
500	33202	26442
501	33256	26366
502	33311	26291
503	33365	26215
504	33420	26140
505	33475	26065
506	33528	25989
507	33580	25912
508	33629	25833
509	33679	25755
510	33737	25682
511	33789	25606
512	33841	25529
513	33897	25455
514	33947	25378
515	33996	25300
516	34046	25222
517	34094	25143
518	34148	25068
519	34232	25015
520	34286	24941
521	34339	24866
522	34398	24796
523	34458	24725
524	34511	24650
525	34567	24578
526	34622	24505
527	34680	24433
528	34732	24358
529	34785	24283
530	34836	24208
531	34892	24136
532	34943	24060
533	34994	23984
534	35045	23909
535	35097	23834
536	35148	23759
537	35203	23687
538	35256	23613
539	35318	23545
540	35376	23475
541	35432	23403
542	35487	23331
543	35541	23258
544	35594	23185
545	35647	23112
546	35704	23041
547	35766	22974
548	35821	22902
549	35878	22831
550	35933	22759
551	35986	22687
552	36040	22614
553	36092	22541
554	36146	22469
555	36206	22401
556	36264	22331
557	36324	22263
558	36384	22195
559	36486	22152
560	36547	22085
561	36607	22016
562	36665	21947
563	36723	21878
564	36779	21807
565	36839	21738
566	36892	21666
567	36946	21595
568	36997	21522
569	37038	21443
570	37089	21370
571	37141	21298
572	37195	21226
573	37252	21157
574	37307	21086
575	37363	21016
576	37424	20949
577	37481	20880
578	37537	20811
579	37613	20752
580	37669	20682
581	37726	20613
582	37799	20553
583	37855	20483
584	37913	20415
585	37970	20345
586	38023	20275
587	38076	20204
588	38130	20133
589	38186	20064
590	38242	19994
591	38309	19931
592	38371	19865
593	38432	19798
594	38495	19733
595	38555	19665
596	38615	19598
597	38697	19542
598	38777	19485
599	38836	19418
600	38898	19352
601	38958	19285
602	39020	19218
603	39076	19150
604	39131	19080
605	39187	19011
606	39246	18944
607	39305	18876
608	39367	18810
609	39429	18745
610	39490	18678
611	39551	18612
612	39612	18545
613	39672	18479
614	39731	18412
615	39790	18344
616	39849	18277
617	39911	18212
618	39974	18146
619	40029	18078
620	40083	18008
621	40138	17939
622	40193	17871
623	40254	17804
624	40317	17739
625	40376	17672
626	40436	17606
627	40498	17540
628	40556	17473
629	40611	17405
630	40668	17337
631	40732	17272
632	40786	17203
633	40841	17135
634	40895	17066
635	40979	17010
636	41037	16943
637	41089	16873
638	41144	16805
639	41200	16737
640	41253	16668
641	41313	16602
642	41370	16535
643	41426	16467
644	41482	16399
645	41537	16332
646	41589	16262
647	41645	16195
648	41698	16126
649	41748	16057
650	41798	15987
651	41850	15918
652	41901	15849
653	41951	15780
654	42002	15710
655	42050	15640
656	42098	15570
657	42148	15501
658	42199	15432
659	42250	15363
660	42304	15296
661	42356	15227
662	42407	15159
663	42459	15090
664	42508	15021
665	42556	14952
666	42607	14883
667	42657	14815
668	42707	14746
669	42757	14677
670	42809	14609
671	42858	14541
672	42907	14472
673	42956	14403
674	43004	14334
675	43053	14266
676	43101	14197
677	43151	14129
678	43215	14065
679	43284	14003
680	43339	13937
681	43392	13870
682	43446	13803
683	43498	13736
684	43551	13669
685	43602	13601
686	43654	13534
687	43705	13467
688	43757	13400
689	43810	13333
690	43861	13266
691	43911	13198
692	43961	13131
693	44012	13064
694	44061	12996
695	44111	12929
696	44162	12862
697	44213	12795
698	44267	12729
699	44328	12665
700	44388	12600
701	44445	12535
702	44506	12471
703	44568	12408
704	44624	12342
705	44680	12277
706	44738	12212
707	44794	12147
708	44850	12082
709	44905	12016
710	44965	11952
711	45019	11887
712	45070	11820
713	45127	11755
714	45182	11690
715	45236	11625
716	45292	11560
717	45350	11495
718	45410	11431
719	45495	11373
720	45571	11313
721	45636	11251
722	45702	11188
723	45772	11127
724	45845	11066
725	45951	11013
726	46040	10956
727	46111	10894
728	46177	10831
729	46250	10770
730	46324	10709
731	46403	10649
732	46482	10590
733	46561	10530
734	46640	10470
735	46724	10411
736	46801	10350
737	46882	10291
738	46961	10231
739	47034	10169
740	47111	10108
741	47185	10047
742	47253	9984
743	47326	9923
744	47410	9864
745	47490	9803
746	47575	9744
747	47657	9684
748	47740	9624
749	47870	9574
750	47962	9515
751	48052	9457
752	48166	9402
753	48294	9351
754	48399	9295
755	48488	9235
756	48583	9177
757	48661	9115
758	48733	9053
759	48811	8991
760	48887	8929
761	48963	8867
762	49031	8803
763	49096	8739
764	49161	8675
765	49227	8611
766	49294	8547
767	49365	8484
768	49444	8422
769	49530	8362
770	49628	8303
771	49728	8245
772	49819	8185
773	49914	8125
774	50020	8067
775	50111	8007
776	50211	7948
777	50308	7888
778	50386	7826
779	50463	7763
780	50536	7700
781	50601	7635
782	50665	7570
783	50728	7505
784	50790	7440
785	50849	7375
786	50912	7310
787	50971	7244
788	51029	7179
789	51088	7113
790	51145	7047
791	51202	6982
792	51264	6917
793	51329	6852
794	51397	6788
795	51468	6724
796	51542	6661
797	51619	6597
798	51697	6534
799	51772	6471
800	51849	6408
801	51931	6345
802	52013	6283
803	52092	6220
804	52170	6156
805	52246	6093
806	52318	6029
807	52395	5965
808	52474	5902
809	52608	5845
810	52717	5785
811	52825	5724
812	52915	5662
813	53010	5600
814	53112	5539
815	53202	5476
816	53300	5414
817	53395	5352
818	53476	5288
819	53552	5224
820	53629	5160
821	53702	5095
822	53772	5030
823	53838	4965
824	53908	4900
825	53975	4835
826	54040	4770
827	54102	4704
828	54166	4639
829	54229	4573
830	54302	4508
831	54375	4444
832	54449	4379
833	54528	4315
834	54610	4251
835	54694	4187
836	54775	4122
837	54859	4058
838	54944	3994
839	55069	3933
840	55155	3869
841	55242	3805
842	55323	3740
843	55403	3676
844	55474	3610
845	55543	3545
846	55618	3480
847	55684	3414
848	55749	3348
849	55813	3283
850	55875	3217
851	55936	3151
852	56003	3085
853	56065	3019
854	56125	2953
855	56187	2888
856	56248	2822
857	56318	2756
858	56390	2691
859	56465	2626
860	56548	2561
861	56632	2496
862	56717	2431
863	56798	2366
864	56881	2301
865	56964	2236
866	57049	2171
867	57131	2106
868	57207	2040
869	57285	1975
870	57364	1909
871	57460	1845
872	57533	1779
873	57600	1713
874	57664	1647
875	57723	1581
876	57787	1515
877	57843	1449
878	57898	1383
879	57954	1317
880	58008	1251
881	58065	1185
882	58121	1118
883	58175	1052
884	58228	986
885	58283	920
886	58338	855
887	58400	789
888	58469	723
889	58528	657
890	58586	591
891	58644	525
892	58699	460
893	58754	394
894	58817	328
895	58872	262
896	58925	197
897	58987	131
898	59041	65
899	59094	0
