iter	RMSE
0	0.3365453062
1	0.3331261786
2	0.3299477772
3	0.3259957438
4	0.3225301201
5	0.3194684876
6	0.3163486971
7	0.3134763852
8	0.3106780711
9	0.3074312851
10	0.3043123863
11	0.3014580731
12	0.2986452713
13	0.2958243915
14	0.2933015484
15	0.2911778479
16	0.2886461782
17	0.2866801249
18	0.2846940774
19	0.2831195429
20	0.2813229032
21	0.2794759441
22	0.277487449
23	0.2755827978
24	0.2740428634
25	0.2722880896
26	0.270557023
27	0.2688511369
28	0.2672385307
29	0.2660260346
30	0.2644404129
31	0.2630406751
32	0.262010856
33	0.2607725693
34	0.2596577295
35	0.2585379961
36	0.2575732483
37	0.2563747132
38	0.25539986
39	0.2545909688
40	0.2534415718
41	0.2525281153
42	0.2513442455
43	0.2501324739
44	0.2488996569
45	0.2477552581
46	0.2468034258
47	0.2457303158
48	0.2450210624
49	0.2441935064
50	0.2432810917
51	0.2426182162
52	0.2420301533
53	0.2411868599
54	0.2403359047
55	0.2397035113
56	0.2391023061
57	0.2383687954
58	0.2376022641
59	0.2369118696
60	0.2364236658
61	0.2358086081
62	0.2352427818
63	0.234641335
64	0.2340744526
65	0.2336352977
66	0.2331106829
67	0.2325035861
68	0.2319972552
69	0.2314452349
70	0.2311809993
71	0.2305783463
72	0.2301116189
73	0.229882343
74	0.2294098201
75	0.2291116935
76	0.2286426247
77	0.228279329
78	0.227911154
79	0.2276006596
80	0.2272685432
81	0.2269175999
82	0.2266757726
83	0.2263909502
84	0.2261372835
85	0.2258422715
86	0.2254178143
87	0.2254020239
88	0.2253864452
89	0.2250419358
90	0.2248357633
91	0.2245977806
92	0.2242924708
93	0.223981277
94	0.223538828
95	0.2232358487
96	0.2230365143
97	0.2227480671
98	0.2223855841
99	0.2220835433
100	0.2216932629
101	0.221425335
102	0.2214001289
103	0.2211512638
104	0.2209494455
105	0.2208101052
106	0.2205131647
107	0.220355544
108	0.2202053541
109	0.2200499454
110	0.2200354869
111	0.2198399965
112	0.2195665066
113	0.2195523811
114	0.2191930048
115	0.2189789492
116	0.2186585618
117	0.2184632839
118	0.2181990542
119	0.2179903202
120	0.2178163189
121	0.2175439558
122	0.2172599672
123	0.2168842983
124	0.216624339
125	0.2165997573
126	0.2164303024
127	0.2162899624
128	0.2161309522
129	0.2159441346
130	0.215729519
131	0.2155387743
132	0.2152990487
133	0.2150707875
134	0.214868079
135	0.2146161417
136	0.214457516
137	0.2144441688
138	0.2143346
139	0.214321859
140	0.2143092891
141	0.2141841534
142	0.2140034248
143	0.2138772335
144	0.2135000316
145	0.2134875481
146	0.2132468799
147	0.2131030547
148	0.2129439077
149	0.21277955
150	0.2125702983
151	0.2125161458
152	0.2123434988
153	0.2121418124
154	0.2119885736
155	0.2118471263
156	0.2117612207
157	0.2116742101
158	0.2114957126
159	0.2112151246
160	0.2112033821
161	0.2111917974
162	0.2110854342
163	0.2110741545
164	0.2109266959
165	0.2107101735
166	0.2106212685
167	0.2106093542
168	0.2105214859
169	0.2105107732
170	0.210259402
171	0.2102487622
172	0.2101091164
173	0.2099946577
174	0.209732906
175	0.2096262434
176	0.2095439477
177	0.2095226712
178	0.2093178888
179	0.2091685809
180	0.2091501433
181	0.2091400759
182	0.2089156613
183	0.2087618364
184	0.208751879
185	0.2086010047
186	0.2085359233
187	0.208492621
188	0.2082345682
189	0.2080684152
190	0.2078930592
191	0.2078835075
192	0.2078052374
193	0.2076039671
194	0.2073510803
195	0.2072539572
196	0.2071545425
197	0.2070729148
198	0.2070579832
199	0.2068581046
200	0.2068401663
201	0.2067812987
202	0.2065823619
203	0.2064606693
204	0.206452237
205	0.2062839961
206	0.2061447935
207	0.2061365259
208	0.206009338
209	0.2058265861
210	0.205605347
211	0.2054953705
212	0.2054872883
213	0.2053747941
214	0.2052349912
215	0.2051548174
216	0.2051051216
217	0.2049650579
218	0.2048155167
219	0.2048086571
220	0.2048009656
221	0.2047102732
222	0.204606907
223	0.2044069247
224	0.2042388144
225	0.2041508867
226	0.2039355536
227	0.2037396201
228	0.2035605625
229	0.2033749236
230	0.2032559591
231	0.2030922996
232	0.2029735557
233	0.2029173105
234	0.2027524076
235	0.2026496679
236	0.2026088268
237	0.2025129939
238	0.2023257769
239	0.2021830062
240	0.2021757109
241	0.2021669814
242	0.202026916
243	0.2019780186
244	0.2018666314
245	0.2017883992
246	0.201612075
247	0.2014736974
248	0.2013941708
249	0.2012942199
250	0.201151861
251	0.2010772229
252	0.2008737441
253	0.2008670225
254	0.2006870563
255	0.2005337503
256	0.200470014
257	0.200423898
258	0.2003243272
259	0.2003179873
260	0.2003117329
261	0.2002155456
262	0.2001858415
263	0.2000528362
264	0.1999389467
265	0.1998476271
266	0.1997908608
267	0.1996651789
268	0.1994770229
269	0.199339193
270	0.1991387218
271	0.1989969907
272	0.1988168358
273	0.1988086408
274	0.1987431775
275	0.1987380801
276	0.1985536662
277	0.1984000953
278	0.1983360505
279	0.1982428048
280	0.1980784415
281	0.1979229009
282	0.197819809
283	0.1976424052
284	0.1976371413
285	0.1974484216
286	0.1974321985
287	0.1973489398
288	0.1972063791
289	0.1970943705
290	0.1969726483
291	0.1969646831
292	0.1968493944
293	0.1967537177
294	0.1967019031
295	0.1966483639
296	0.1965207985
297	0.1964379405
298	0.1963179925
299	0.1962236442
300	0.1961363425
301	0.1958984177
302	0.1958116959
303	0.1957410734
304	0.1955912993
305	0.1955145846
306	0.1954686502
307	0.195358492
308	0.1951886548
309	0.1950986289
310	0.1949640847
311	0.19489171
312	0.1947940787
313	0.1946776303
314	0.1946247342
315	0.1944623383
316	0.1943983128
317	0.1943473098
318	0.1942022794
319	0.1941049405
320	0.1939897936
321	0.1939037778
322	0.1938236634
323	0.1937482904
324	0.1936684805
325	0.1935675061
326	0.1934299944
327	0.1933668219
328	0.1932670498
329	0.1931542602
330	0.1930759952
331	0.193032471
332	0.1928890894
333	0.1927444993
334	0.1925829274
335	0.1924711267
336	0.1922542325
337	0.1921251847
338	0.1919993127
339	0.1919635061
340	0.1919155938
341	0.1917712144
342	0.1917098168
343	0.1915649145
344	0.1914031389
345	0.1913476367
346	0.1912902975
347	0.1911964997
348	0.1911755363
349	0.1911278498
350	0.1910834497
351	0.1909769686
352	0.190929285
353	0.1908437486
354	0.1907591834
355	0.1906864855
356	0.1905684559
357	0.1905109529
358	0.1904439895
359	0.1902728809
360	0.1901689522
361	0.1901661513
362	0.1900759344
363	0.18995189
364	0.1898369919
365	0.1897234014
366	0.1896786467
367	0.1896440946
368	0.1894950323
369	0.1894145534
370	0.189257839
371	0.1892226198
372	0.1891751984
373	0.1890709563
374	0.1889576604
375	0.1888768593
376	0.1887271429
377	0.1885971259
378	0.188476881
379	0.188430206
380	0.1883089498
381	0.1882771565
382	0.1882745596
383	0.1881320414
384	0.1880113642
385	0.187855795
386	0.1877940713
387	0.1876460938
388	0.1874949991
389	0.1874449127
390	0.1873320272
391	0.1872259953
392	0.1871959441
393	0.1871633372
394	0.1870343808
395	0.1870107562
396	0.1868145226
397	0.1866707207
398	0.1866402897
399	0.1866018356
400	0.1864953793
401	0.1863057364
402	0.186209924
403	0.1860738894
404	0.1860429689
405	0.1860381144
406	0.1860307756
407	0.185864151
408	0.1857347004
409	0.1856548481
410	0.1855599595
411	0.1855021379
412	0.1852827197
413	0.1851932191
414	0.185133906
415	0.1850811707
416	0.1849727545
417	0.1848472921
418	0.1846105129
419	0.1844288816
420	0.1843566802
421	0.1843272905
422	0.1841504498
423	0.1840056751
424	0.1839419674
425	0.1838073103
426	0.1836789835
427	0.1836721973
428	0.1835760691
429	0.183507292
430	0.1834565054
431	0.1833478743
432	0.183266362
433	0.183242413
434	0.1831156571
435	0.1830486493
436	0.1829117098
437	0.1828529394
438	0.1827843371
439	0.1827125817
440	0.182666848
441	0.1825422186
442	0.1824724421
443	0.1824326441
444	0.1823268883
445	0.1823203135
446	0.1823139655
447	0.1822277056
448	0.18220333
449	0.18217637
450	0.1820814853
451	0.1820752931
452	0.1820591346
453	0.1819740825
454	0.1818660709
455	0.1818314294
456	0.1816538591
457	0.181568344
458	0.181404754
459	0.1812736684
460	0.1811497279
461	0.1810633726
462	0.1810164288
463	0.1808914802
464	0.1808389232
465	0.1807907316
466	0.180677619
467	0.1805952586
468	0.1805500837
469	0.1804560665
470	0.1803278796
471	0.1801899461
472	0.180105864
473	0.1799880137
474	0.1798481376
475	0.1797547161
476	0.1797488957
477	0.1796143566
478	0.1795407326
479	0.1794316629
480	0.1793845889
481	0.1792510261
482	0.1792453445
483	0.1791694319
484	0.1790651263
485	0.1789537232
486	0.1788010623
487	0.1787490209
488	0.1786270542
489	0.1786125067
490	0.1784821131
491	0.178387036
492	0.1782672921
493	0.1781847074
494	0.1780967067
495	0.1779820569
496	0.1778735962
497	0.1777578615
498	0.1776717754
499	0.1775590088
500	0.1773908728
501	0.1772725939
502	0.1771647027
503	0.1771248843
504	0.1771061932
505	0.1769706569
506	0.1768507512
507	0.1768091122
508	0.1766370463
509	0.1764716364
510	0.1763423984
511	0.1763296262
512	0.176254058
513	0.1761465596
514	0.1759939838
515	0.1759112636
516	0.1758105434
517	0.1757288007
518	0.1757003654
519	0.1756754313
520	0.1755839463
521	0.1754025817
522	0.1753091665
523	0.1752007244
524	0.1751111039
525	0.1750089564
526	0.174896123
527	0.1748186133
528	0.1746954284
529	0.1745857084
530	0.1745162016
531	0.1744858412
532	0.1744530372
533	0.1744221032
534	0.1743795095
535	0.1742697511
536	0.1741391186
537	0.174090157
538	0.1739955877
539	0.1739908182
540	0.1738500212
541	0.173760798
542	0.1737110921
543	0.1736448242
544	0.1736194223
545	0.1735237489
546	0.1734360099
547	0.1734235142
548	0.1733968419
549	0.1733921064
550	0.1733494839
551	0.1733146295
552	0.1732866806
553	0.173272666
554	0.1731647483
555	0.1731083907
556	0.1730003084
557	0.1729346599
558	0.1729300373
559	0.1728233031
560	0.1727659224
561	0.1726213622
562	0.1725375538
563	0.1724944723
564	0.1723586237
565	0.1723514145
566	0.1722513289
567	0.1721300279
568	0.1720890652
569	0.1720309476
570	0.1720180108
571	0.1718981147
572	0.1718015317
573	0.1717467484
574	0.171660646
575	0.171590396
576	0.1714620037
577	0.1713345865
578	0.1713117371
579	0.1712006171
580	0.1710867559
581	0.1710051187
582	0.1709848024
583	0.1709116313
584	0.1708008461
585	0.1707220747
586	0.1706240264
587	0.1705692689
588	0.1704540318
589	0.1703918113
590	0.1703395564
591	0.1702772283
592	0.1701923472
593	0.1701666096
594	0.170060572
595	0.1699631872
596	0.1698889458
597	0.1697838432
598	0.1697689019
599	0.1696693662
600	0.1695666457
601	0.169547572
602	0.1694915082
603	0.1694549282
604	0.1693652385
605	0.1692973043
606	0.1692093121
607	0.1691638453
608	0.1690909075
609	0.1690530813
610	0.1690184612
611	0.1689311701
612	0.1689048286
613	0.168827512
614	0.1687990036
615	0.1687968955
616	0.1686933845
617	0.168654641
618	0.1686500815
619	0.1685423692
620	0.1685403664
621	0.1685365191
622	0.16851961
623	0.1684194964
624	0.1682938819
625	0.1681255841
626	0.1680534104
627	0.1680010042
628	0.1679234637
629	0.1678730318
630	0.1678017785
631	0.1677058687
632	0.1676269029
633	0.1675567992
634	0.1675322176
635	0.1674426794
636	0.1673209165
637	0.1672629481
638	0.1672386126
639	0.1671602048
640	0.16709489
641	0.1670229988
642	0.1669138676
643	0.16684458
644	0.1667810208
645	0.1667610707
646	0.1667108402
647	0.16669016
648	0.1666140321
649	0.1664980313
650	0.1664366007
651	0.1663952656
652	0.1663562473
653	0.1662706322
654	0.1662165719
655	0.1661853002
656	0.1660882961
657	0.166060309
658	0.1660568763
659	0.1659945372
660	0.1659032711
661	0.165887814
662	0.1657843096
663	0.1657803713
664	0.1657092103
665	0.1656481683
666	0.1655910401
667	0.1654757694
668	0.1654143907
669	0.165359774
670	0.1653226836
671	0.1652504229
672	0.1651616428
673	0.1651381393
674	0.1650315098
675	0.165016169
676	0.1649228703
677	0.1648571711
678	0.164853372
679	0.1648022402
680	0.1648007822
681	0.1647972009
682	0.1647646161
683	0.1647435321
684	0.1646777258
685	0.1646741619
686	0.1645965799
687	0.1644963476
688	0.1644130947
689	0.164323385
690	0.1642693475
691	0.164187184
692	0.1641048171
693	0.1640559391
694	0.1640136798
695	0.1639247209
696	0.1638453579
697	0.1638420974
698	0.1637459649
699	0.1636603817
700	0.1635932175
701	0.1635293243
702	0.1635265464
703	0.1634346488
704	0.1633295967
705	0.1632289774
706	0.1631852988
707	0.1630904278
708	0.1630116471
709	0.1629222644
710	0.1628949783
711	0.1628131187
712	0.1627702171
713	0.1626815272
714	0.162639789
715	0.1625829265
716	0.1625069383
717	0.1624959458
718	0.1624805223
719	0.1624299038
720	0.162352235
721	0.1623491486
722	0.1622234848
723	0.1621239206
724	0.1620749952
725	0.1620481286
726	0.1619582051
727	0.1618597563
728	0.1618568086
729	0.1617604446
730	0.1617371835
731	0.1616825339
732	0.1616414018
733	0.1615995942
734	0.1615128653
735	0.1614278407
736	0.161333929
737	0.1612802589
738	0.1612055627
739	0.161202692
740	0.1611162249
741	0.161068298
742	0.1610253278
743	0.1609669525
744	0.1609239867
745	0.1608370164
746	0.1607718961
747	0.1606832826
748	0.1605845563
749	0.1605248589
750	0.1604741044
751	0.1604088109
752	0.1603649205
753	0.1603223092
754	0.1602653534
755	0.1601665659
756	0.1601339185
757	0.1600361802
758	0.1599899246
759	0.159986984
760	0.1599388313
761	0.1599359442
762	0.1598407839
763	0.1597316261
764	0.1597008311
765	0.1596429481
766	0.1596032662
767	0.1595150709
768	0.1594235786
769	0.1593908737
770	0.1593487084
771	0.1592371795
772	0.1592091769
773	0.1591604168
774	0.1591010807
775	0.1590582446
776	0.1589938488
777	0.1589329431
778	0.1588333415
779	0.158809451
780	0.1587549014
781	0.1587023398
782	0.1586996193
783	0.1586969487
784	0.158641353
785	0.1585720924
786	0.1585272313
787	0.1584654342
788	0.1584188538
789	0.1583478871
790	0.1582456609
791	0.1581970944
792	0.1581273389
793	0.1581047917
794	0.1580345024
795	0.1580081831
796	0.1579116493
797	0.1578601925
798	0.157780154
799	0.1577051785
800	0.1576647586
801	0.1575965935
802	0.1575193599
803	0.1575169544
804	0.1574217975
805	0.1574078308
806	0.1573422465
807	0.1573123952
808	0.1573100296
809	0.1572822174
810	0.1572524158
811	0.1572081172
812	0.1571305409
813	0.1570428352
814	0.1569882611
815	0.1569085288
816	0.1568949935
817	0.1568779201
818	0.1568470849
819	0.1568252718
820	0.1567829046
821	0.1567241839
822	0.1566750559
823	0.1565929869
824	0.1565079418
825	0.156425628
826	0.1563151951
827	0.1562342011
828	0.1561635313
829	0.1561242734
830	0.1560491217
831	0.1559899405
832	0.1559640572
833	0.1559145001
834	0.1558741768
835	0.1557936087
836	0.1557231105
837	0.1556472933
838	0.1555607147
839	0.1555006197
840	0.155496763
841	0.1554049934
842	0.1553093667
