iter	Passed	Remaining
400	27400	34096
401	27450	34005
402	27503	33918
403	27553	33828
404	27604	33738
405	27653	33647
406	27703	33557
407	27754	33468
408	27805	33379
409	27863	33300
410	27917	33215
411	27969	33129
412	28022	33043
413	28073	32955
414	28125	32869
415	28177	32783
416	28230	32698
417	28317	32652
418	28372	32570
419	28422	32483
420	28472	32395
421	28526	32312
422	28580	32228
423	28633	32144
424	28684	32059
425	28735	31972
426	28787	31888
427	28846	31811
428	28903	31733
429	28956	31649
430	29009	31567
431	29062	31483
432	29115	31401
433	29171	31322
434	29225	31240
435	29278	31158
436	29334	31079
437	29393	31004
438	29445	30920
439	29502	30843
440	29553	30759
441	29605	30677
442	29659	30596
443	29709	30512
444	29760	30429
445	29819	30353
446	29874	30275
447	29933	30200
448	29988	30122
449	30046	30046
450	30099	29965
451	30155	29888
452	30208	29808
453	30261	29728
454	30316	29649
455	30368	29569
456	30422	29490
457	30480	29416
458	30562	29363
459	30615	29284
460	30674	29210
461	30728	29131
462	30782	29053
463	30837	28976
464	30899	28906
465	30955	28829
466	31011	28753
467	31065	28676
468	31119	28597
469	31175	28521
470	31228	28444
471	31281	28365
472	31335	28287
473	31389	28210
474	31441	28131
475	31494	28054
476	31558	27985
477	31609	27905
478	31661	27827
479	31711	27747
480	31763	27668
481	31817	27593
482	31877	27521
483	31932	27446
484	31990	27372
485	32046	27298
486	32103	27225
487	32163	27154
488	32219	27080
489	32275	27006
490	32333	26933
491	32390	26860
492	32445	26785
493	32501	26711
494	32557	26638
495	32613	26564
496	32669	26490
497	32743	26431
498	32827	26380
499	32894	26315
500	32957	26247
501	33019	26178
502	33078	26107
503	33141	26039
504	33198	25967
505	33258	25896
506	33315	25824
507	33374	25753
508	33433	25682
509	33489	25609
510	33546	25537
511	33604	25465
512	33661	25393
513	33715	25319
514	33773	25248
515	33836	25180
516	33896	25111
517	33964	25046
518	34025	24978
519	34081	24906
520	34152	24843
521	34215	24776
522	34273	24705
523	34330	24633
524	34394	24567
525	34451	24495
526	34510	24425
527	34565	24352
528	34620	24280
529	34681	24211
530	34735	24138
531	34791	24066
532	34850	23996
533	34911	23928
534	34984	23867
535	35079	23822
536	35143	23755
537	35201	23685
538	35258	23614
539	35315	23543
540	35370	23471
541	35428	23400
542	35482	23328
543	35538	23256
544	35593	23184
545	35650	23113
546	35704	23041
547	35758	22969
548	35814	22897
549	35871	22827
550	35932	22759
551	35987	22687
552	36042	22616
553	36096	22543
554	36150	22472
555	36204	22399
556	36257	22327
557	36310	22254
558	36363	22182
559	36418	22111
560	36469	22037
561	36521	21965
562	36573	21892
563	36624	21818
564	36677	21746
565	36729	21674
566	36781	21601
567	36834	21530
568	36897	21464
569	36951	21392
570	37002	21320
571	37053	21247
572	37104	21175
573	37156	21102
574	37212	21033
575	37289	20975
576	37342	20904
577	37395	20832
578	37446	20760
579	37496	20687
580	37548	20616
581	37598	20543
582	37648	20470
583	37701	20400
584	37751	20327
585	37808	20259
586	37866	20190
587	37924	20123
588	37985	20056
589	38041	19987
590	38095	19917
591	38149	19848
592	38208	19780
593	38262	19711
594	38318	19642
595	38375	19573
596	38434	19506
597	38486	19436
598	38540	19366
599	38593	19296
600	38643	19225
601	38712	19163
602	38773	19097
603	38826	19027
604	38880	18958
605	38940	18891
606	38992	18821
607	39045	18752
608	39098	18682
609	39147	18611
610	39200	18541
611	39250	18470
612	39301	18400
613	39353	18330
614	39409	18263
615	39469	18196
616	39550	18140
617	39600	18069
618	39650	17999
619	39700	17929
620	39753	17860
621	39804	17790
622	39857	17721
623	39914	17654
624	39967	17585
625	40019	17516
626	40069	17446
627	40118	17376
628	40169	17306
629	40218	17236
630	40270	17167
631	40430	17144
632	40490	17079
633	40547	17012
634	40607	16946
635	40666	16880
636	40720	16812
637	40777	16745
638	40881	16698
639	40955	16638
640	41025	16576
641	41088	16512
642	41154	16448
643	41223	16386
644	41312	16333
645	41397	16277
646	41460	16212
647	41520	16146
648	41580	16081
649	41636	16013
650	41693	15947
651	41781	15892
652	41837	15825
653	41901	15761
654	41959	15694
655	42020	15629
656	42079	15563
657	42138	15497
658	42197	15431
659	42266	15369
660	42360	15316
661	42439	15257
662	42499	15192
663	42565	15128
664	42620	15061
665	42674	14993
666	42731	14927
667	42796	14863
668	42864	14800
669	42925	14735
670	42984	14669
671	43039	14602
672	43102	14538
673	43172	14476
674	43253	14417
675	43341	14361
676	43421	14302
677	43485	14238
678	43546	14173
679	43614	14110
680	43668	14043
681	43727	13977
682	43784	13910
683	43841	13844
684	43922	13785
685	44003	13726
686	44058	13660
687	44112	13592
688	44177	13528
689	44232	13462
690	44287	13395
691	44341	13327
692	44401	13262
693	44454	13195
694	44511	13129
695	44563	13061
696	44616	12994
697	44673	12928
698	44726	12861
699	44780	12794
700	44841	12729
701	44921	12670
702	44979	12604
703	45034	12538
704	45088	12471
705	45149	12406
706	45205	12340
707	45259	12273
708	45312	12206
709	45374	12142
710	45429	12076
711	45486	12010
712	45543	11944
713	45598	11878
714	45659	11814
715	45713	11747
716	45766	11681
717	45822	11615
718	45890	11552
719	45947	11486
720	46002	11420
721	46056	11354
722	46108	11287
723	46178	11225
724	46263	11167
725	46318	11101
726	46386	11038
727	46442	10972
728	46496	10906
729	46552	10841
730	46624	10779
731	46680	10713
732	46739	10648
733	46802	10584
734	46863	10520
735	46939	10459
736	47003	10395
737	47085	10335
738	47154	10273
739	47214	10208
740	47273	10143
741	47336	10079
742	47417	10019
743	47488	9957
744	47546	9892
745	47605	9827
746	47679	9765
747	47754	9704
748	47831	9642
749	47925	9585
750	48000	9523
751	48073	9461
752	48140	9397
753	48213	9335
754	48322	9280
755	48443	9227
756	48576	9176
757	48649	9113
758	48721	9051
759	48815	8992
760	48886	8929
761	48959	8866
762	49032	8804
763	49095	8739
764	49151	8673
765	49216	8609
766	49277	8544
767	49339	8480
768	49409	8416
769	49479	8353
770	49544	8289
771	49611	8225
772	49680	8162
773	49743	8097
774	49812	8034
775	49884	7971
776	49967	7909
777	50025	7844
778	50083	7779
779	50138	7713
780	50200	7648
781	50256	7583
782	50311	7517
783	50365	7452
784	50430	7387
785	50486	7322
786	50539	7256
787	50593	7190
788	50644	7124
789	50707	7060
790	50792	6999
791	50874	6937
792	50945	6874
793	51001	6808
794	51055	6743
795	51108	6677
796	51168	6612
797	51230	6548
798	51284	6482
799	51338	6417
800	51394	6352
801	51445	6286
802	51500	6221
803	51551	6155
804	51605	6090
805	51658	6024
806	51709	5959
807	51761	5893
808	51817	5828
809	51875	5763
810	51930	5698
811	51985	5633
812	52038	5568
813	52092	5503
814	52148	5438
815	52203	5373
816	52256	5308
817	52311	5243
818	52363	5178
819	52416	5113
820	52471	5049
821	52523	4984
822	52574	4918
823	52626	4853
824	52677	4788
825	52729	4723
826	52783	4659
827	52838	4594
828	52899	4530
829	52960	4466
830	53048	4404
831	53106	4340
832	53170	4276
833	53227	4212
834	53283	4147
835	53342	4083
836	53400	4019
837	53455	3954
838	53514	3890
839	53567	3826
840	53621	3761
841	53675	3697
842	53730	3632
843	53788	3568
844	53869	3506
845	53943	3443
846	54007	3379
847	54072	3315
848	54135	3251
849	54198	3188
850	54265	3124
851	54331	3060
852	54399	2997
853	54474	2934
854	54544	2870
855	54607	2806
856	54669	2743
857	54731	2679
858	54798	2615
859	54866	2551
860	54935	2488
861	55001	2424
862	55066	2360
863	55130	2297
864	55195	2233
865	55292	2170
866	55352	2106
867	55411	2042
868	55474	1978
869	55531	1914
870	55585	1850
871	55640	1786
872	55693	1722
873	55749	1658
874	55808	1594
875	55869	1530
876	55928	1466
877	55986	1402
878	56042	1338
879	56099	1274
880	56161	1211
881	56218	1147
882	56277	1083
883	56339	1019
884	56398	955
885	56459	892
886	56520	828
887	56577	764
888	56633	700
889	56694	637
890	56753	573
891	56823	509
892	56897	446
893	56973	382
894	57044	318
895	57114	254
896	57175	191
897	57235	127
898	57294	63
899	57352	0
