target,forecast_year,feature,importance
Revenue,2024,t,27.599345413451847
Revenue,2024,year,16.36592491309566
Revenue,2024,month_mean,5.753431060913002
Revenue,2024,dow_month,4.988191991804837
Revenue,2024,dow_mean,4.4916273541854554
Revenue,2024,dow,4.137492251057328
Revenue,2024,lag3,3.603662857687828
Revenue,2024,lag_std,2.8927831259818215
Revenue,2024,sin_2,2.301166439891052
Revenue,2024,urban,2.0982849893623037
Revenue,2024,lag2,2.061197223707023
Revenue,2024,day,2.0507735992497658
Revenue,2024,cos_1,1.9528741705885695
Revenue,2024,baseline,1.7586228874285494
Revenue,2024,lag1,1.6507854960192136
Revenue,2024,woy,1.6107520693995085
Revenue,2024,doy,1.5962077163425972
Revenue,2024,wom_mean,1.2668435296526548
Revenue,2024,cos_3,1.2618042566139815
Revenue,2024,md_mean,1.1462712223502631
Revenue,2024,month,1.0804624628906785
Revenue,2024,sin_1,0.9763261702265503
Revenue,2024,days_to_month_end,0.9737462271428318
Revenue,2024,quarter,0.9600724371065225
Revenue,2024,cos_2,0.9079793892651695
Revenue,2024,lag_mean,0.7846882667806697
Revenue,2024,sin_3,0.7394693512183774
Revenue,2024,md_recent,0.6246721565901416
Revenue,2024,month_pos,0.4003696807537011
Revenue,2024,yearend,0.3675224831705788
Revenue,2024,is_first_7_days,0.33162706759599586
Revenue,2024,week_of_month,0.3232335764433643
Revenue,2024,lag_missing,0.2101183785913545
Revenue,2024,is_weekend,0.1572461991207118
Revenue,2024,is_last_3_days,0.15647572481145583
Revenue,2024,is_first_3_days,0.1328188734298934
Revenue,2024,spring,0.07432084921641519
Revenue,2024,promo_any,0.07275521585689577
Revenue,2024,is_payday_window,0.05519847033492044
Revenue,2024,weekend_promo,0.03521144141858996
Revenue,2024,midyear,0.017951569027413045
Revenue,2024,is_last_7_days,0.014845048149929218
Revenue,2024,fall,0.007876427351613344
Revenue,2024,rural,0.006650172709026064
Revenue,2024,is_quarter_end,0.00031979201390408524
Revenue,2024,is_month_start,0.0
Revenue,2024,is_month_end,0.0
Revenue,2024,is_quarter_start,0.0
COGS,2024,t,29.70798709413731
COGS,2024,year,15.290144040656282
COGS,2024,dow_month,5.327475857893799
COGS,2024,dow,5.096675595999984
COGS,2024,dow_mean,5.042445715621281
COGS,2024,lag_std,3.4750158342652617
COGS,2024,month_mean,3.265043737381007
COGS,2024,day,2.6222001822491334
COGS,2024,baseline,2.228008661265526
COGS,2024,lag1,2.028689467784223
COGS,2024,lag3,1.8896595602795894
COGS,2024,cos_3,1.7017488528225686
COGS,2024,lag_mean,1.6604413959872766
COGS,2024,md_mean,1.5964443947676668
COGS,2024,wom_mean,1.48605428123577
COGS,2024,doy,1.4778069378776815
COGS,2024,cos_1,1.3865908417344945
COGS,2024,sin_1,1.3493960826565168
COGS,2024,sin_2,1.3375166795512885
COGS,2024,lag2,1.2703311954710914
COGS,2024,days_to_month_end,1.2118224175251786
COGS,2024,woy,1.201325047466457
COGS,2024,month,1.0658718756984937
COGS,2024,quarter,1.0052689820669514
COGS,2024,sin_3,0.9765559480960341
COGS,2024,md_recent,0.9154769477141307
COGS,2024,cos_2,0.829453964956044
COGS,2024,yearend,0.7396638924613911
COGS,2024,month_pos,0.5360747640072229
COGS,2024,week_of_month,0.5317756121634302
COGS,2024,is_first_7_days,0.3696748623329239
COGS,2024,lag_missing,0.27376070081417475
COGS,2024,urban,0.203562961193741
COGS,2024,is_first_3_days,0.1557696692805061
COGS,2024,is_weekend,0.13564161151090331
COGS,2024,spring,0.13537462781608486
COGS,2024,promo_any,0.09101213543555052
COGS,2024,is_last_3_days,0.07626975578428646
COGS,2024,is_payday_window,0.07050615257556955
COGS,2024,fall,0.06945174553576003
COGS,2024,is_last_7_days,0.06091462838376406
COGS,2024,weekend_promo,0.05161107673739958
COGS,2024,rural,0.02873796448497206
COGS,2024,is_month_start,0.01196561371683138
COGS,2024,is_quarter_start,0.006484328172830423
COGS,2024,midyear,0.003711503603992916
COGS,2024,is_month_end,0.0025848008276399457
COGS,2024,is_quarter_end,0.0
