stage,fold,n_days,MAE,RMSE,bias_pred_minus_true,underpredict_rate,overpredict_rate,MAPE_pct,MAE_1_30,MAE_31_90,MAE_91_180,MAE_181_365,MAE_366_548
tune,2018-06-30,548,1831578.1696965725,2285590.432608672,1558130.746392277,0.11313868613138686,0.8868613138686131,66.04915855961424,791444.2820297246,1404987.7267507026,1070684.9346482842,2492855.6917571165,1847662.8296960422
tune,2019-06-30,548,907810.6388005669,1216146.7814633464,683652.136476682,0.18248175182481752,0.8175182481751825,42.79516350100157,959643.5382252254,1517649.8861304678,550581.2112865676,1144200.6384359973,636079.2547632521
tune,2020-06-30,548,917056.1774998005,1327500.653622924,-862730.721940168,0.8704379562043796,0.12956204379562045,29.533559926754037,692387.8236008137,1307884.2068027998,359122.1647780275,1155634.229904812,858955.0316463691
tune,2021-06-30,548,637477.6590878551,898048.3837008228,-83591.71391185132,0.5346715328467153,0.4653284671532847,24.343471636519887,577124.2580955186,924081.9339268458,369028.424625064,777449.285251148,543925.8875079243
holdout,2021-06-30,548,637477.6590878551,898048.3837008228,-83591.71391185132,0.5346715328467153,0.4653284671532847,24.343471636519887,577124.2580955186,924081.9339268458,369028.424625064,777449.285251148,543925.8875079243
